,Средняя оценка,Факультет,Законченных семестров,Ступень_образования,Отчислен,Год_поступления,Пол
2541,3.53,РКТ,3,Специалист,True,2011,М
2546,3.61,РКТ,4,Специалист,True,2010,М
2553,3.33,РКТ,1,Специалист,True,2011,М
2555,4.65,РКТ,10,Специалист,True,2014,М
2567,4.31,РКТ,5,Специалист,True,2012,М
2574,3.62,РКТ,5,Специалист,True,2016,М
2581,3.41,РКТ,3,Специалист,True,2017,Ж
2585,4.29,РКТ,9,Специалист,True,2007,Ж
2596,4.46,РКТ,11,Специалист,False,2008,Ж
2607,4.6,РКТ,11,Специалист,False,2013,Ж
2618,3.7,РКТ,11,Специалист,False,2008,М
2619,3.33,РКТ,11,Специалист,False,2010,М
2621,3.4,РКТ,1,Специалист,True,2007,М
2642,3.77,РКТ,10,Специалист,True,2011,М
2653,4.58,РКТ,11,Специалист,False,2009,Ж
2664,4.21,РКТ,11,Специалист,False,2009,Ж
2675,3.95,РКТ,11,Специалист,False,2010,М
2686,3.33,РКТ,1,Специалист,True,2014,М
2687,3.71,РКТ,1,Специалист,True,2017,М
2691,3.33,РКТ,2,Специалист,True,2011,М
2695,3.4,РКТ,1,Специалист,True,2009,М
2697,3.73,РКТ,11,Специалист,False,2010,Ж
2708,4.79,РКТ,11,Специалист,False,2010,М
2719,4.13,РКТ,10,Специалист,True,2011,Ж
2730,4.17,РКТ,10,Специалист,True,2010,Ж
2742,3.82,РКТ,10,Специалист,True,2012,Ж
2753,4.23,РКТ,10,Специалист,True,2012,Ж
2764,4.58,РКТ,11,Специалист,True,2011,М
2777,3.0,РКТ,1,Специалист,True,2010,Ж
2779,3.0,РКТ,1,Специалист,True,2011,Ж
0,3.3,МТ,9,Специалист,True,2007,М
11,4.74,МТ,8,Б,False,2015,М
13,3.0,МТ,2,Специалист,True,2011,М
20,4.05,МТ,12,Специалист,False,2010,М
24,4.0,МТ,4,М,False,2015,М
36,4.0,МТ,1,Специалист,True,2018,М
39,4.51,МТ,12,Специалист,False,2014,М
42,3.2,МТ,1,Специалист,True,2010,М
56,4.53,МТ,8,Б,False,2014,М
64,3.0,МТ,1,Специалист,True,2012,М
66,3.72,МТ,9,Специалист,True,2007,М
67,4.79,МТ,9,Специалист,True,2007,М
68,3.54,МТ,12,Специалист,True,2009,М
69,3.78,МТ,12,Специалист,True,2011,М
70,4.12,МТ,12,Специалист,False,2012,М
81,3.2,МТ,1,Специалист,True,2007,М
85,4.29,МТ,4,М,False,2015,М
86,4.43,МТ,4,М,False,2016,М
113,3.33,МТ,7,Специалист,True,2007,М
135,3.05,МТ,4,Специалист,True,2007,М
137,4.09,МТ,2,Специалист,True,2012,М
146,4.45,МТ,10,Специалист,True,2007,М
147,3.69,МТ,10,Специалист,True,2007,М
148,4.51,МТ,10,Специалист,True,2007,М
149,3.74,МТ,8,Б,True,2014,М
151,3.95,МТ,8,Специалист,True,2008,М
152,3.1,МТ,2,Специалист,True,2009,М
156,4.37,МТ,7,Специалист,True,2012,М
159,4.79,МТ,8,Б,False,2016,М
220,3.96,МТ,9,Специалист,True,2013,М
223,3.4,МТ,1,Специалист,True,2014,М
234,4.09,МТ,11,Специалист,False,2008,М
235,4.1,МТ,11,Специалист,False,2009,М
236,3.6,МТ,8,Специалист,True,2011,М
238,3.59,МТ,6,Специалист,True,2012,М
276,3.26,МТ,11,Специалист,True,2008,М
277,3.78,МТ,10,Специалист,True,2008,М
278,4.0,МТ,8,Специалист,True,2012,М
